Bryo_Species	Ge1	Ge10	Ge11	Ge12	Ge13	Ge14	Ge15	Ge16	Ge17	Ge18	Ge19	Ge2	Ge20	Ge21	Ge22	Ge23	Ge24	Ge25	Ge26	Ge27	Ge28	Ge29	Ge3	Ge30	Ge4	Ge5	Ge6	Ge7	Ge8	Ge9	Go1	Go10	Go11	Go12	Go13	Go14	Go15	Go16	Go17	Go18	Go19	Go2	Go20	Go21	Go22	Go23	Go24	Go25	Go26	Go27	Go28	Go29	Go3	Go30	Go4	Go5	Go6	Go7	Go8	Go9
Chryso-hypnum cavifolium/frondosum	0.1	0.375	0	0	0.333333333	0.714285714	0	0.166666667	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0.5	0.5	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cololejeunea cardiocarpa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cololejeunea minutissima	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cololejeunea mocambiquensis	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryphaea rutenbergii	0	0	0	0.166666667	0	0	0.4	0	0	0	0	0.666666667	0.75	0.5	0.111111111	0	0.2	0.166666667	0.142857143	0	0	0	0	0.2	0	0	0.166666667	0.2	0	0	0.666666667	0	0.444444444	0.090909091	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.5	0	0.428571429	0	0	0.111111111	0	0	0	0.142857143	0.1	0
Entodon geminidens	0.2	0.125	0	0	0	0	0	0	0.222222222	0.125	0.166666667	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181818182	0	0	0
Entodontella cameruniae	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entodontopis nitens	0	0	0	0.166666667	0	0	0.2	0	0.111111111	0.125	0.333333333	0.111111111	0.375	0.125	0.333333333	0	0	0	0.142857143	0	0.090909091	0	0	0.2	0	0	0.333333333	0	0	0	0.111111111	0	0.111111111	0.363636364	0.142857143	0.833333333	0.5	0.2	0.111111111	0.142857143	0.2	0.5	0.1	0.125	0.4	0.222222222	0	0	0.166666667	0.2	0	0.142857143	0	0.111111111	0.4	0.375	0.454545455	0	0.1	0
Erythrodontium julaceum/squarrosum	0	0	0	0	0	0	0	0.166666667	0.111111111	0	0	0	0.25	0	0.111111111	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0.2	0	0	0.142857143	0.333333333	0.2	0.2	0	0	0.2	0.5	0.2	0	0	0	0	0.2	0.166666667	0.2	0	0.285714286	0.2	0.111111111	0	0.125	0.181818182	0.142857143	0.1	0
Fabronia pilifera	0	0.125	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0.2	0	0	0.111111111	0.4	0.111111111	0	0	0	0	0	0	0	0	0	0.1	0	0	0.111111111	0	0	0.166666667	0.2	0.142857143	0	0.2	0.111111111	0.2	0.125	0.090909091	0.142857143	0.5	0.5
Fissidens androgynus	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0
Fissidens cryptoneuron	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.181818182	0.142857143	0.166666667	0.1	0.4	0	0	0.2	0.5	0	0	0	0.111111111	0.125	0	0	0	0	0	0	0	0.2	0	0.181818182	0	0	0
Fissidens curticostatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0.111111111	0	0	0	0	0	0	0	0.125	0	0	0.2	0	0	0	0	0.2	0	0	0	0	0
Fissidens ramulosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Fissidens submarginatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fissidens usambaricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floribundaria floribunda	0.7	0	0.3	0	0.166666667	0.285714286	0.2	0.166666667	0.444444444	0.125	0	0	0	0.25	0	0.5	0.2	0.333333333	0.142857143	0.5	1	0.2	1	0	0.125	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Floribundaria vaginans	0.2	0	0.2	0	0.5	0	0	0	0.222222222	0	0	0	0	0	0	0.125	0	0	0.142857143	0.166666667	0	0	0.142857143	0	0	0.166666667	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forsstroemia producta	0	0	0.1	0.333333333	0	0	0	0	0	0	0.166666667	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.111111111	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0
Frullania socotrana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0.142857143	0	0	0	0	0	0.090909091	0	0	0
Frullania angulata	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullania arecae	0	0	0	0.166666667	0.166666667	0	0	0	0	0.375	0.166666667	0.555555556	0.5	0.125	0.111111111	0	0.2	0	0	0.166666667	0	0.1	0.142857143	0.4	0.125	0	0.5	0.2	0	0	0	0	0.444444444	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullania caffraria	0.2	0	0	0.166666667	0	0	0.2	0.166666667	0.222222222	0.25	0.166666667	0.111111111	0.125	0.125	0.222222222	0	0.6	0.166666667	0.285714286	0	0.090909091	0.2	0	0.2	0	0	0.166666667	0.4	0	0	0.666666667	0.8	0.111111111	0.272727273	0.285714286	0.166666667	0.4	0.4	0.111111111	0.285714286	0.4	0	0.2	0.375	0.2	0.555555556	0.125	0.2	0.333333333	0.2	0.857142857	0.142857143	0.4	0.111111111	0.4	0	0.272727273	0.285714286	0.7	1
Frullania depressa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullania ericoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0.285714286	0	0	0	0	0	0	0	0
Frullania obscurifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0.111111111	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullania riojaneirensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullania trinervis	0.1	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frullanoides tristis	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.111111111	0	0	0	0.1	0.125	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homaliodendron piniforme	0	0.125	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0.181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hylocomiopsis cylindricarpa	0	0	0	0.333333333	0.166666667	0	0	0.166666667	0	0.125	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.2	0.125	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypopterygium tamarisci	0	0.125	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lejeunea aethiopica	0	0	0	0.166666667	0	0	0.4	0	0.111111111	0	0	0	0	0.125	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.333333333	0.125	0.2	0.166666667	0.2	0.428571429	0.142857143	0	0.222222222	0	0.125	0	0	0	0.5
Lejeunea amaniensis	0	0	0	0	0	0	0	0	0.111111111	0.125	0	0	0	0.125	0	0	0.2	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.555555556	0.090909091	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lejeunea phyllobola	0	0.125	0	0	0	0	0	0	0	0.125	0	0.111111111	0.125	0.125	0.111111111	0.125	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.111111111	0	0	0	0	0	0	0	0	0.2	0.125	0.181818182	0.142857143	0.1	0.5
Lejeunea sp_ (confusa)	0.3	0.25	0.2	0.333333333	0.166666667	0.142857143	0	0.5	0.444444444	0.375	0.5	0.555555556	0.375	0.375	0.222222222	0.875	0.4	0.5	0.142857143	0.333333333	0.272727273	0.4	0.714285714	0.8	0.25	0.166666667	0.333333333	0.6	0.2	0.5	0	0.4	0.222222222	0.545454545	0.285714286	0.666666667	0.4	0.2	0.222222222	0.428571429	0.4	0.5	0	0.5	0.2	0	0.25	0	0.166666667	0.2	0	0	0	0.111111111	0	0.25	0.181818182	0	0.5	0
Lejeunea tabularis	0	0	0	0	0	0	0.4	0	0	0.125	0	0.333333333	0.25	0.5	0	0	0.2	0	0.428571429	0.166666667	0.090909091	0.2	0	0.2	0	0	0.166666667	0	0	0	0	0	0.222222222	0.090909091	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucobryum sp_	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Levierella neckeroides	0	0	0	0	0	0	0	0.166666667	0	0.25	0.166666667	0.111111111	0.375	0	0.333333333	0	0	0	0.142857143	0	0	0	0	0	0.25	0	0	0	0	0	0	0.4	0	0	0.714285714	0.166666667	0.8	0.4	0.444444444	0	0	0.5	0.1	0	0.6	0.222222222	0	0	0	0	0	0	0	0.111111111	0	0.375	0.181818182	0	0	0
Lindbergia patentifolia	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0	0.2	0.2	0.222222222	0	0	0	0	0	0	0.222222222	0	0.2	0	0	0	0	0	0	0	0	0.090909091	0	0	0
Lopholejeunea nigricans	0	0.125	0.1	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrocoma sp_	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0	0.111111111	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0.222222222	0.125	0	0.166666667	0.2	0.142857143	0	0.2	0	0	0	0	0	0.1	0.5
